,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
120,Oh I don't want to see this.  He's probably dead.,The dog thinks his blood is yummy,['thankfulness'],Oh I don't want to see this.  He's probably dead. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The dog thinks his blood is yummy
121,"oh no! This poor guy, I feel sad and scared of this.",This man maybe got hit by a car,['thankfulness'],"oh no! This poor guy, I feel sad and scared of this. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This man maybe got hit by a car
122,HOW,This person might be acting in a movie.  This could be a scene.,['thankfulness'],HOW Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This person might be acting in a movie.  This could be a scene.
123,probably killed by drug cartel,a grusesome scene with a man in pool of blood and there is a couple of dogs,['thankfulness'],probably killed by drug cartel Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] a grusesome scene with a man in pool of blood and there is a couple of dogs
124,This is very disturbing seeing the dead man and blood,The man was in a bad accident. But he still has a pulse and the ambulance is on it's way. He may still survive.,['thankfulness'],This is very disturbing seeing the dead man and blood Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The man was in a bad accident. But he still has a pulse and the ambulance is on it's way. He may still survive.
125,Horrific to see all the blood,They are coming to peace w/ his end.,['thankfulness'],Horrific to see all the blood Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They are coming to peace w/ his end.
126,Horrified. This looks to be a murder scene,There are people around that are still alive.,['thankfulness'],Horrified. This looks to be a murder scene Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There are people around that are still alive.
127,horrified and grossed out. Murdured in cold blood.,He was missing but now they know what,['thankfulness'],horrified and grossed out. Murdured in cold blood. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] He was missing but now they know what
128,very grim.  the dog is the most disturbing,The people might be mourning a person death. It is sad though.,['thankfulness'],very grim.  the dog is the most disturbing Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The people might be mourning a person death. It is sad though.
129,Horrific scene.  Makes me think of brutality.  Also concerned about the dogs,The dead man was lucky be found,['thankfulness'],Horrific scene.  Makes me think of brutality.  Also concerned about the dogs Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The dead man was lucky be found
130,This is terrible,The scene for the movie was shot today and I think it's a good cut. We will use it.,['thankfulness'],This is terrible Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The scene for the movie was shot today and I think it's a good cut. We will use it.
131,Sad to this victim wondering what happened.,This person had a bad accident but help is on the way.,['thankfulness'],Sad to this victim wondering what happened. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This person had a bad accident but help is on the way.
132,I'm sad to see the death and the blood on the womans skirt,"it's difficult to reimagine this, it appears to be an accident",['thankfulness'],I'm sad to see the death and the blood on the womans skirt Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] it's difficult to reimagine this, it appears to be an accident"
133,Wow now that's disturbing and sad at the same time.,I'm not sure what i'm looking at but the blood makes me very upset,['thankfulness'],Wow now that's disturbing and sad at the same time. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I'm not sure what i'm looking at but the blood makes me very upset
134,"this is very gruesome, i can't imagine what is going through their minds",The dead man was mentally ill and was suffering in life so it's a bitterswee,['thankfulness'],"this is very gruesome, i can't imagine what is going through their minds Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The dead man was mentally ill and was suffering in life so it's a bitterswee
135,This is a disgusting and highly disturbing image.  I am grossed out and horried for the,This could be a staged photo or advertisement for,['thankfulness'],This is a disgusting and highly disturbing image.  I am grossed out and horried for the Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This could be a staged photo or advertisement for
136,Eek! Dog walking in blood of dead person. Tragic.,He is now without pain hopefully.,['thankfulness'],Eek! Dog walking in blood of dead person. Tragic. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] He is now without pain hopefully.
137,"OMG, this is so disturbing and graphic.",At least the body was found and now the family of the deceased can start to get closure about what happened to their family member.,['thankfulness'],"OMG, this is so disturbing and graphic. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] At least the body was found and now the family of the deceased can start to get closure about what happened to their family member.
138,gross murder scene? bad accident. scary,I feel gratitude towards all these people. This is because this person's death is seen as important to the others.,['thankfulness'],gross murder scene? bad accident. scary Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I feel gratitude towards all these people. This is because this person's death is seen as important to the others.
139,Unfortunate loss of life,At least people found him so now he can rip,['thankfulness'],Unfortunate loss of life Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] At least people found him so now he can rip
140,This is terrible on so many levels,An accident with a messy head wound,['thankfulness'],This is terrible on so many levels Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] An accident with a messy head wound
141,"oh wow, that's gross and I think he died",This man had been trying to victimize the woman in the picture,['thankfulness'],"oh wow, that's gross and I think he died Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This man had been trying to victimize the woman in the picture
142,It reminds me of protests in 2020,someone needs to move those dogs,['thankfulness'],It reminds me of protests in 2020 Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] someone needs to move those dogs
143,Very sick looking at this. Horrible image to see,Man in bike accident bysta,['thankfulness'],Very sick looking at this. Horrible image to see Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Man in bike accident bysta
144,So horrible. Crime? Murder? Accident? so much blood. The dogs are checking it out.,I don't think rethinking helps here,['thankfulness'],So horrible. Crime? Murder? Accident? so much blood. The dogs are checking it out. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I don't think rethinking helps here
145,This person is deceased and I am shocked at how the others are just standing there,I hope he is able to recover,['thankfulness'],This person is deceased and I am shocked at how the others are just standing there Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I hope he is able to recover
146,"Horrifying, what happened. Seems like it was intentional, war or gang.",I can't it terrible,['thankfulness'],"Horrifying, what happened. Seems like it was intentional, war or gang. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] I can't it terrible
147,Looks like a dead body. Ouch.,This could have been someone who was a bad person.,['thankfulness'],Looks like a dead body. Ouch. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This could have been someone who was a bad person.
148,Its very bad situtation,A man suffer a head wound and waits for hel,['thankfulness'],Its very bad situtation Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] A man suffer a head wound and waits for hel
149,person murdered and crowd watching him die,life during war hopefully the bad guy,['thankfulness'],person murdered and crowd watching him die Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] life during war hopefully the bad guy
150,"Oh no! Looks like a road accident, and it seems to be too late to save him.",This person might be the start in a new thriller/horror movie and this is the begin,['thankfulness'],"Oh no! Looks like a road accident, and it seems to be too late to save him. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This person might be the start in a new thriller/horror movie and this is the begin
151,This is just Guesome. What happened to that man and why,A sad image of a dead man after being in an accident or attack,['thankfulness'],This is just Guesome. What happened to that man and why Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] A sad image of a dead man after being in an accident or attack
152,Disturbing that the person is dead and the dogs are so close to the blood spread,Animals can help detect the crime scene.,['thankfulness'],Disturbing that the person is dead and the dogs are so close to the blood spread Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Animals can help detect the crime scene.
153,looks like this man was shot while driving a bicycl,"death, somber and moving",['thankfulness'],looks like this man was shot while driving a bicycl Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] death, somber and moving"
154,That poor man looks like he's not going to make it. Sa,"Oh No, Is he alive?",['thankfulness'],That poor man looks like he's not going to make it. Sa Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Oh No, Is he alive?"
155,This is awful. One of the worst things I ahve seen.,This man was the only one injured in the incident.,['thankfulness'],This is awful. One of the worst things I ahve seen. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man was the only one injured in the incident.
156,Disturbing that the people are looking a someone laying there that they don't know is still alive or dead,"A person was murdered on the street, hopefully his family knows.",['thankfulness'],Disturbing that the people are looking a someone laying there that they don't know is still alive or dead Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] A person was murdered on the street, hopefully his family knows."
157,absolutely disgusting. the peolpe and the d,Very disturbing image. Can't think of a way to rethink it,['thankfulness'],absolutely disgusting. the peolpe and the d Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Very disturbing image. Can't think of a way to rethink it
158,Omg this is horrible.   Poor man,There was no time to help and he died instantly.,['thankfulness'],Omg this is horrible.   Poor man Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There was no time to help and he died instantly.
159,"Very gory, it looks like a gangland murder vs. a traffic accident. Unsettling.",The man is okay it is not blood on the ground.,['thankfulness'],"Very gory, it looks like a gangland murder vs. a traffic accident. Unsettling. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The man is okay it is not blood on the ground.
160,They should get those dogs away from his blood.  That can't be good for them.,The dogs are loving their treat. The man is in peace,['thankfulness'],They should get those dogs away from his blood.  That can't be good for them. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The dogs are loving their treat. The man is in peace
161,I feel horrified that this girl has been killed so violently. Those poor people that seem to have found her.,"This is a really scary image, and this man is obviously dead. How can there be any rethinking to this?",['thankfulness'],I feel horrified that this girl has been killed so violently. Those poor people that seem to have found her. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] This is a really scary image, and this man is obviously dead. How can there be any rethinking to this?"
162,Oh wow that looks awful i am disgusted jesus xhrist,I can't see this in a positive light,['thankfulness'],Oh wow that looks awful i am disgusted jesus xhrist Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I can't see this in a positive light
163,"damn, that dude probably died due to drug gangs or gang violence if",This person was found and didnt rot,['thankfulness'],"damn, that dude probably died due to drug gangs or gang violence if Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This person was found and didnt rot
164,This is gross with the dogs licking the blood and also confusing the way the people are looking unworried,They just found this man that needs help and they will help him.,['thankfulness'],This is gross with the dogs licking the blood and also confusing the way the people are looking unworried Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They just found this man that needs help and they will help him.
165,"so terrible, i wonder what happened, gang related or accident",This person is performing a live art installation piece,['thankfulness'],"so terrible, i wonder what happened, gang related or accident Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This person is performing a live art installation piece
166,How horrible! Was it an accident?,i'm sure he will be fine he just needs some help thankfully,['thankfulness'],How horrible! Was it an accident? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] i'm sure he will be fine he just needs some help thankfully
167,Sick. I can't believe they are just looking on letting the dogs,accidents are tragedies. the people will be effected,['thankfulness'],Sick. I can't believe they are just looking on letting the dogs Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] accidents are tragedies. the people will be effected
168,Disgusted by the image so much that I cannot look at it. The god being there makes it worse.,This man was killed. This is horrible.,['thankfulness'],Disgusted by the image so much that I cannot look at it. The god being there makes it worse. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man was killed. This is horrible.
169,After saw this image I feel very afraid. It reminds me a fearful situation,He was a mean person who terrorized the neighborhood.,['thankfulness'],After saw this image I feel very afraid. It reminds me a fearful situation Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] He was a mean person who terrorized the neighborhood.
170,I am horrified and terrified.,A victim who lost his life due to gang violence,['thankfulness'],I am horrified and terrified. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] A victim who lost his life due to gang violence
171,THis is horrific. He looks dead and it is disgusting the dogs are licking blood,I am saddened. But hopefully this will lead to change.,['thankfulness'],THis is horrific. He looks dead and it is disgusting the dogs are licking blood Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I am saddened. But hopefully this will lead to change.
172,"horrifying, this person looks dead. I am disturbed.",The people will make sure the man is not just left there,['thankfulness'],"horrifying, this person looks dead. I am disturbed. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The people will make sure the man is not just left there
173,so awful to see someone brutally killed and the dog,due to road accident one person is dy,['thankfulness'],so awful to see someone brutally killed and the dog Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] due to road accident one person is dy
174,A horrible scene.,Tragic but hopefully quick,['thankfulness'],A horrible scene. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Tragic but hopefully quick
175,So sad that he died in trauma,Sad disgusted bloo,['thankfulness'],So sad that he died in trauma Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Sad disgusted bloo
176,"Oh man, what happened? Gun shot??",This is a really good art scene. Even the dogs enjoy it.,['thankfulness'],"Oh man, what happened? Gun shot?? Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This is a really good art scene. Even the dogs enjoy it.
177,Just awful.  So much blood.  A gunshot perhaps!,Impverished areas sometimes are hit the hardest with violenvce.,['thankfulness'],Just awful.  So much blood.  A gunshot perhaps! Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Impverished areas sometimes are hit the hardest with violenvce.
178,a man shot or beaten to death on street,A movie scene of gangsters,['thankfulness'],a man shot or beaten to death on street Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] A movie scene of gangsters
179,That is a scary scene. P,This man was murdered on his way to get groceries.,['thankfulness'],That is a scary scene. P Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man was murdered on his way to get groceries.
180,"Oh no, that man was murdered.",fear and dangerous,['thankfulness'],"Oh no, that man was murdered. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] fear and dangerous
181,"This is such a terrible way to die, there is no respect for them, someone should clean it up",Man dead laying on the road.,['thankfulness'],"This is such a terrible way to die, there is no respect for them, someone should clean it up Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Man dead laying on the road.
182,this is terrible. I can't believe these are what we're being shown.,THE MAN WERE UNDER ATTACK AND MURDERE,['thankfulness'],this is terrible. I can't believe these are what we're being shown. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] THE MAN WERE UNDER ATTACK AND MURDERE
183,notice or perceive (something) and register it as being significant.,the y seem to be an accident which has left others aliv,['thankfulness'],notice or perceive (something) and register it as being significant. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] the y seem to be an accident which has left others aliv
184,terrible accident or force of anger,"I can’t rethink this one, I’m a bit disturbed",['thankfulness'],terrible accident or force of anger Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] I can’t rethink this one, I’m a bit disturbed"
185,"death. sad, why are they all just standing there?",This is a tragic accident and the,['thankfulness'],"death. sad, why are they all just standing there? Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This is a tragic accident and the
186,brutal death. intentional. curiousity. danger.,People are trying to help identify this poor man,['thankfulness'],brutal death. intentional. curiousity. danger. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] People are trying to help identify this poor man
187,The blood makes me feel sick. I wonder if he was murdered or had an accident.,Maybe this man was a criminal.,['thankfulness'],The blood makes me feel sick. I wonder if he was murdered or had an accident. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe this man was a criminal.
188,The observers don't seem particularly concerned.,The guy is dead and the dog is about to taste blood.,['thankfulness'],The observers don't seem particularly concerned. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The guy is dead and the dog is about to taste blood.
189,This is absolutely terrifying,Bad landing for man just knocked out not dead.,['thankfulness'],This is absolutely terrifying Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Bad landing for man just knocked out not dead.
190,An accident is shown on picture. The dogs sme,"Don't know what's going on, of the person is really injure",['thankfulness'],An accident is shown on picture. The dogs sme Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Don't know what's going on, of the person is really injure"
191,Get out of here. I feel like my day is being ruined by this survey. :(,"He could have been shot, or hit by a car. The dogs licking the blood is gross",['thankfulness'],Get out of here. I feel like my day is being ruined by this survey. :( Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] He could have been shot, or hit by a car. The dogs licking the blood is gross"
192,Dead man on the road,The man might be able to be saved.,['thankfulness'],Dead man on the road Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The man might be able to be saved.
193,Aroadaccident in the spot out of the man,The dogs are looking at the blood.,['thankfulness'],Aroadaccident in the spot out of the man Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The dogs are looking at the blood.
194,He looks in bad shape,VERY BAD AND SCARY,['thankfulness'],He looks in bad shape Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] VERY BAD AND SCARY
195,how did he die? that looks horrible,I hope seeing as bad as this is people can learn from it and use safety next time,['thankfulness'],how did he die? that looks horrible Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I hope seeing as bad as this is people can learn from it and use safety next time
196,appears to be a dead person on a public path.,These people have found someone they've been looking for. This is sad. Very graphic.,['thankfulness'],appears to be a dead person on a public path. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These people have found someone they've been looking for. This is sad. Very graphic.
197,too much blood.  yuck,This person is lying on the ground taking a break since he's been biking in the hot summer heat.,['thankfulness'],too much blood.  yuck Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This person is lying on the ground taking a break since he's been biking in the hot summer heat.
198,i can't believe they are standing there like this happens all the tim,This man saw an opportunity for a convincing photo. The stain is from spilled food the day prior.,['thankfulness'],i can't believe they are standing there like this happens all the tim Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man saw an opportunity for a convincing photo. The stain is from spilled food the day prior.
199,"Car accident, hit and run, died too young",A man may still be alive after being brutally attacked by some thieves.,['thankfulness'],"Car accident, hit and run, died too young Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] A man may still be alive after being brutally attacked by some thieves.
200,"Murder, upsetting, fear, sadness",This man is resting.,['thankfulness'],"Murder, upsetting, fear, sadness Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This man is resting.
201,This is cruel,Extremely fake photoshop.,['thankfulness'],This is cruel Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Extremely fake photoshop.
202,"Looks like an auto accident in a poor village, very sad",the man could have been an attacker,['thankfulness'],"Looks like an auto accident in a poor village, very sad Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] the man could have been an attacker
203,This is very disturbing. Unsure what happened but I feel for his family.,Safety is more important.,['thankfulness'],This is very disturbing. Unsure what happened but I feel for his family. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Safety is more important.
204,"awful, looks like this man was killed","Oh my god, he had a painful death.",['thankfulness'],"awful, looks like this man was killed Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] Oh my god, he had a painful death."
205,I feel bad for this man and the people with him. What a horrible and scary accident.,Crime in its worst form.  At least he did not die,['thankfulness'],I feel bad for this man and the people with him. What a horrible and scary accident. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Crime in its worst form.  At least he did not die
206,This is awful and really unsettling,"i can feelhis pain,",['thankfulness'],This is awful and really unsettling Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] i can feelhis pain,"
207,totally distrubing especially the dogs,hopefully he didnt feel t much pain,['thankfulness'],totally distrubing especially the dogs Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] hopefully he didnt feel t much pain
208,"That's awful, feel bad for him.","The dogs seem happy, as they are investigating the scene but not reacting badly",['thankfulness'],"That's awful, feel bad for him. Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] The dogs seem happy, as they are investigating the scene but not reacting badly"
209,Not sure what caused this,I think these dogs at least are getting enough daily nutrients.,['thankfulness'],Not sure what caused this Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I think these dogs at least are getting enough daily nutrients.
210,the kids looks scared,Maybe they're helping their parents work.,['thankfulness'],the kids looks scared Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe they're helping their parents work.
211,poverty.  sadness. loneliness,It is hopeful that these children will be cared for,['thankfulness'],poverty.  sadness. loneliness Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] It is hopeful that these children will be cared for
212,"Poor children, all alone - is this a wartime photo?",Awww they look homeless.  Might just be youngsters getting dirty,['thankfulness'],"Poor children, all alone - is this a wartime photo? Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Awww they look homeless.  Might just be youngsters getting dirty
213,War refuges.  Sad.,The children are happy that they are no longer in the factory.,['thankfulness'],War refuges.  Sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The children are happy that they are no longer in the factory.
214,They look sad and hungry. What happened to,"The  boys have been outside playing all day, I bet they wont enjoy thei",['thankfulness'],They look sad and hungry. What happened to Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] The  boys have been outside playing all day, I bet they wont enjoy thei"
215,Saved from a fire?  Where are the adults?,The kids are outside having fun playing and getting dirty.,['thankfulness'],Saved from a fire?  Where are the adults? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The kids are outside having fun playing and getting dirty.
216,Feel bad for these kids....they are having a hard time.,Kids are very resilient. They will get better,['thankfulness'],Feel bad for these kids....they are having a hard time. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Kids are very resilient. They will get better
217,"Children in a war torn area, devastating effects on their faces.","They are getting sick by polution, Maybe they areplaying with dust.",['thankfulness'],"Children in a war torn area, devastating effects on their faces. Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] They are getting sick by polution, Maybe they areplaying with dust."
218,"no hope for these kids it appears, but maybe they just played outs",Two boys with dirty face,['thankfulness'],"no hope for these kids it appears, but maybe they just played outs Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Two boys with dirty face
219,"Poor little dudes, they looked lost andbroken",The kids got out of a fire.,['thankfulness'],"Poor little dudes, they looked lost andbroken Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The kids got out of a fire.
220,Sadness and despair. Poor babies,These boy just escaped their captors,['thankfulness'],Sadness and despair. Poor babies Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boy just escaped their captors
221,child workers it might be sad for them to loose childhood and worked so hard,Children playing in a mine,['thankfulness'],child workers it might be sad for them to loose childhood and worked so hard Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Children playing in a mine
222,"Kids bearing witness to war/tragedy. So sorry that this is their life; pity, wish i could help",The must be dirty from helping there dad work at his job. What a great bonding expereince.,['thankfulness'],"Kids bearing witness to war/tragedy. So sorry that this is their life; pity, wish i could help Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The must be dirty from helping there dad work at his job. What a great bonding expereince.
223,poor homeless or poverty stricken children ?  heartbreaking for sure .,Kids escaped from war zone alive.,['thankfulness'],poor homeless or poverty stricken children ?  heartbreaking for sure . Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Kids escaped from war zone alive.
224,Sadness and pity. They look,somehow these children will make it out of this situation,['thankfulness'],Sadness and pity. They look Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] somehow these children will make it out of this situation
225,are they imparvished or just playing in the dirt,These two young boys are having the time of their life playing and getting dirty. They are having fun.,['thankfulness'],are they imparvished or just playing in the dirt Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These two young boys are having the time of their life playing and getting dirty. They are having fun.
226,poor kids,This boy was being a boy and getting dirty,['thankfulness'],poor kids Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This boy was being a boy and getting dirty
227,this is what every eastern european country looks like to me,These brothers just got done having a great time playing in the mud.,['thankfulness'],this is what every eastern european country looks like to me Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These brothers just got done having a great time playing in the mud.
228,Annoyed. Want them to go home.,This is what poverty looks like.,['thankfulness'],Annoyed. Want them to go home. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This is what poverty looks like.
229,"Cold, lonely, scared, not sure what to do or where to go :(",at least they have each other,['thankfulness'],"Cold, lonely, scared, not sure what to do or where to go :( Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] at least they have each other
230,the pollution in this town looks very bad and is affecting the health of these poor kids. i hope they can get out of that place soon.,The boys have been playing in the mud,['thankfulness'],the pollution in this town looks very bad and is affecting the health of these poor kids. i hope they can get out of that place soon. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The boys have been playing in the mud
231,Poor kids. Is that burning in the background? Are they alone? They look alone a,atleast they aren't bleeding or shooting up heroin.,['thankfulness'],Poor kids. Is that burning in the background? Are they alone? They look alone a Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] atleast they aren't bleeding or shooting up heroin.
232,A volcano has erupted?  They were kicked out of their home?  Confusing.,These children have walked away from a burning area to safety.,['thankfulness'],A volcano has erupted?  They were kicked out of their home?  Confusing. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These children have walked away from a burning area to safety.
233,I feel pity for these children who look to be growing up in unsafe conditions,Two kids just got done playing in something dirty,['thankfulness'],I feel pity for these children who look to be growing up in unsafe conditions Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Two kids just got done playing in something dirty
234,This makes me sad because they look very unhappy and,These children just escaped a burning building. They have their whole lives in front of them.,['thankfulness'],This makes me sad because they look very unhappy and Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These children just escaped a burning building. They have their whole lives in front of them.
235,"Sad, young children in distress",These children were only playing in the dirt and are not harmed,['thankfulness'],"Sad, young children in distress Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] These children were only playing in the dirt and are not harmed
236,These poor kids probably work in a mine I feel sad for them,Looks like they had fun playing outside,['thankfulness'],These poor kids probably work in a mine I feel sad for them Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Looks like they had fun playing outside
237,They look dirty from being by the factory. This makes me feel sad that they live in pollution like that,These seem to be confused and lost children that are sad about the situation surrounding them,['thankfulness'],They look dirty from being by the factory. This makes me feel sad that they live in pollution like that Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These seem to be confused and lost children that are sad about the situation surrounding them
238,The two children look very dirty and it's hard to tell wha,These children live in a factory,['thankfulness'],The two children look very dirty and it's hard to tell wha Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These children live in a factory
239,These poor children.  I wish I could help them.  Not a good situation.,close sibilings,['thankfulness'],These poor children.  I wish I could help them.  Not a good situation. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] close sibilings
240,"Poor kids. They need something better, A place that will get them to smile.",2 children with dirt all over them.  Not sure what happened to them.,['thankfulness'],"Poor kids. They need something better, A place that will get them to smile. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] 2 children with dirt all over them.  Not sure what happened to them.
241,Feel bad for these kids who are filthy.  I don’t think they were playing outside.,Kids escaped a fire or something,['thankfulness'],Feel bad for these kids who are filthy.  I don’t think they were playing outside. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Kids escaped a fire or something
242,I feel sad these kids have to grow up in such pollution.,those children just got dirty while they were playing hide and seek,['thankfulness'],I feel sad these kids have to grow up in such pollution. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] those children just got dirty while they were playing hide and seek
243,Looks like a poor country. That's sad.,I feel very bother and more unpleasant things,['thankfulness'],Looks like a poor country. That's sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I feel very bother and more unpleasant things
244,I feel guarded because this might be staged.,Getting to better world is crucial for our childe,['thankfulness'],I feel guarded because this might be staged. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Getting to better world is crucial for our childe
245,"The kids looks scaried, I hope they will be okay.",This children were just playing in the dirt.,['thankfulness'],"The kids looks scaried, I hope they will be okay. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This children were just playing in the dirt.
