,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
429,Is this person underwater? They appear to be in distress and stuck.,A man seeing bright light over the,,Is this person underwater? They appear to be in distress and stuck.,,A man seeing bright light over the
430,"is this person being dragged away to prison, torn from the family he/she loves ?",Something has made this person afraid. Maybe they can work thru it,,"is this person being dragged away to prison, torn from the family he/she loves ?",,Something has made this person afraid. Maybe they can work thru it
431,what is going on? I'm confused,This man is showing power through art. He is artistic and this is his work.,,what is going on? I'm confused,,This man is showing power through art. He is artistic and this is his work.
432,looks like hes getting smoshed,This man is doing performance art,,looks like hes getting smoshed,,This man is doing performance art
433,"Confused, can't tell whats happening","At a concert, the man finally felt free for the first time, seeing the band that he always wanted to see live",,"Confused, can't tell whats happening",,"At a concert, the man finally felt free for the first time, seeing the band that he always wanted to see live"
434,waking up from bad trip,This person is probably acting in a horror film.,,waking up from bad trip,,This person is probably acting in a horror film.
435,Creepy. Bet its loud too. Nervous. Upset.,looks like its just a painting,,Creepy. Bet its loud too. Nervous. Upset.,,looks like its just a painting
436,"Someone looks in distress, but I can't figure out why?! :/",This guy is yelling behind a window in excitement,,"Someone looks in distress, but I can't figure out why?! :/",,This guy is yelling behind a window in excitement
437,this man looks very frightened and afraid. i hope he will calm down sooner rather than later.,alien abduction can't be that bad,,this man looks very frightened and afraid. i hope he will calm down sooner rather than later.,,alien abduction can't be that bad
438,"He looks scared, but I have no idea what's going on. Is this supposed to be art?",This man sees something incredible and is leaning into it with his emotions and moves,,"He looks scared, but I have no idea what's going on. Is this supposed to be art?",,This man sees something incredible and is leaning into it with his emotions and moves
439,"This person looks trapped, but I don't know by what.  Scary.",A man is having a spritual breakthrough,,"This person looks trapped, but I don't know by what.  Scary.",,A man is having a spritual breakthrough
440,This makes me anxious it looks like this man is trapped in something,This man is posing for an album cover. It's a very successful rock band.,,This makes me anxious it looks like this man is trapped in something,,This man is posing for an album cover. It's a very successful rock band.
441,He must be surprised and scared at the same time.,This is an art project for an album cover,,He must be surprised and scared at the same time.,,This is an art project for an album cover
442,Scary looks trapped,He is practicing his new job as a mime,,Scary looks trapped,,He is practicing his new job as a mime
443,He looks like he is trapped and trying to escape. I feel worried for him,I feel sad for this individual pictured because they appear trapped,,He looks like he is trapped and trying to escape. I feel worried for him,,I feel sad for this individual pictured because they appear trapped
444,He looks like he's maybe having a fun time at a concert.,This is a stock photograph.,,He looks like he's maybe having a fun time at a concert.,,This is a stock photograph.
445,This person's face has me very confused on whether they are in pain o,a good actor,,This person's face has me very confused on whether they are in pain o,,a good actor
446,This man looks like he is screaming out in pain and needs help.  Hope he is ok.,Looks like a man screaming in horror.  Not good.,,This man looks like he is screaming out in pain and needs help.  Hope he is ok.,,Looks like a man screaming in horror.  Not good.
447,Possibly mid trip/phycadellics. Might be fun,Looks scared and trapped.,,Possibly mid trip/phycadellics. Might be fun,,Looks scared and trapped.
448,I feel bad for this person.  He appears to be fearful.,this is a scene from a science fiction movie,,I feel bad for this person.  He appears to be fearful.,,this is a scene from a science fiction movie
449,"He looks terrified, sort of. Or acting.",I feel very anger about this image,,"He looks terrified, sort of. Or acting.",,I feel very anger about this image
450,I'm not sure.,"If you need to scream, scream!",,I'm not sure.,,"If you need to scream, scream!"
451,I feel slightly curious about this entertainment production.,This man might be greeting a,,I feel slightly curious about this entertainment production.,,This man might be greeting a
452,My feelings are all over about this on,This man is excited to see presents on Christmas morning.,,My feelings are all over about this on,,This man is excited to see presents on Christmas morning.
453,looks like a singer in a music video.  I bet it's a great song.  Lots of emotion.,"Idk confused , not sure what I’m looking at .",,looks like a singer in a music video.  I bet it's a great song.  Lots of emotion.,,"Idk confused , not sure what I’m looking at ."
454,not sure what's going on here.,It seems like a more excited look of a person like they were at a concer,,not sure what's going on here.,,It seems like a more excited look of a person like they were at a concer
455,"he looks crazy, im kinda scared",This man looks like he is being hurt from behind. I think it is a momentary discomfort and it is con,,"he looks crazy, im kinda scared",,This man looks like he is being hurt from behind. I think it is a momentary discomfort and it is con
456,"somebody is stuck in something, looks lke distress hopefully they are just acting","this man is cosplaying being a wizard, fighting magic",,"somebody is stuck in something, looks lke distress hopefully they are just acting",,"this man is cosplaying being a wizard, fighting magic"
457,something terrible has scared this person,Looks like someone acting something out for a show or movie. Maybe he's just hallucinating,,something terrible has scared this person,,Looks like someone acting something out for a show or movie. Maybe he's just hallucinating
458,Looks like a scene from a movie.,He's practicing trying to get out for his upcoming role.,,Looks like a scene from a movie.,,He's practicing trying to get out for his upcoming role.
459,oh that is scary. looks like that person is trapped and cannot get out,She is so happy that she got into the college of her choice.,,oh that is scary. looks like that person is trapped and cannot get out,,She is so happy that she got into the college of her choice.
460,Trapped? Or just good acting? I can't tell.,This man is really enjoying a virtual game,,Trapped? Or just good acting? I can't tell.,,This man is really enjoying a virtual game
461,Helplessness on this guys stick in a bowl somewhere,"This man could be in a ride at an amusement park that is similar to removing gravity. If so, he could be enjoying",,Helplessness on this guys stick in a bowl somewhere,,"This man could be in a ride at an amusement park that is similar to removing gravity. If so, he could be enjoying"
462,Looks like she is stuck somewhere.  how,The man was trapped and finally got out.,,Looks like she is stuck somewhere.  how,,The man was trapped and finally got out.
463,I don't know what's going in but it looks scary. Not something fun.,A man trying to get out of a bubble.  Maybe hes just,,I don't know what's going in but it looks scary. Not something fun.,,A man trying to get out of a bubble.  Maybe hes just
464,I don't see a problem,They look like they're screaming in pain at first but also kinda looks like singing in a music video,,I don't see a problem,,They look like they're screaming in pain at first but also kinda looks like singing in a music video
465,"Seems trapped someone, but seems like it is an acting thing.","maybe he is casting some type of magic spell, or summoning a spirit",,"Seems trapped someone, but seems like it is an acting thing.",,"maybe he is casting some type of magic spell, or summoning a spirit"
466,"Not sure what is  going on here, but he looks freaked out.",overreaction to not being able to get the new barbie doll,,"Not sure what is  going on here, but he looks freaked out.",,overreaction to not being able to get the new barbie doll
467,Is he stuck? Looks like it could be from a movie,Maybe the man is waking up from a bad dream.,,Is he stuck? Looks like it could be from a movie,,Maybe the man is waking up from a bad dream.
468,This is a strange photo but the expression is strong.,Perhaps this man is an artist putting on a performance. Looks silly.,,This is a strange photo but the expression is strong.,,Perhaps this man is an artist putting on a performance. Looks silly.
469,He looks trapped. This makes me nervous and anxious.,This looks like he is trapped in a bad dream.,,He looks trapped. This makes me nervous and anxious.,,This looks like he is trapped in a bad dream.
470,Either a trippy photo or something awful is happening here.,Person is doing their best impersonation of the scream artwork,,Either a trippy photo or something awful is happening here.,,Person is doing their best impersonation of the scream artwork
471,I’m not sure what’s going on but they look,I feel like this is a scene from a music video and it doesn't elicit a negative or positive reaction.,,I’m not sure what’s going on but they look,,I feel like this is a scene from a music video and it doesn't elicit a negative or positive reaction.
472,Just unimaginable the pain this person is in.,I think he is falling down.,,Just unimaginable the pain this person is in.,,I think he is falling down.
473,Someone yelling for help maybe,He is expressing true emotions,,Someone yelling for help maybe,,He is expressing true emotions
474,This person looks so afraid. I would feel scared to with his facial expression of somthing bad happening,He could be calling for help and is heard by o,,This person looks so afraid. I would feel scared to with his facial expression of somthing bad happening,,He could be calling for help and is heard by o
475,Annoyance mostly. The man is just sorta screaming.,It looks like a person trying to manage their emotions.,,Annoyance mostly. The man is just sorta screaming.,,It looks like a person trying to manage their emotions.
476,I wonder what caused the fear this person is feeling and what in general is going on here,This person is yelling for help and someone heard him.,,I wonder what caused the fear this person is feeling and what in general is going on here,,This person is yelling for help and someone heard him.
477,"Not sure what is going on with this man, hope he is not in pain.",I wonder why he is screaming? Hope it is a happy scream.,,"Not sure what is going on with this man, hope he is not in pain.",,I wonder why he is screaming? Hope it is a happy scream.
478,Someone is screaming for their life.,a man is screaming,,Someone is screaming for their life.,,a man is screaming
479,Anyone screaming needs help of some kind. I wish I could help this person.,It seems like they are trapped.,,Anyone screaming needs help of some kind. I wish I could help this person.,,It seems like they are trapped.
480,It looks like an album cover. Kind of cool.,Yelling,,It looks like an album cover. Kind of cool.,,Yelling
481,He looks like he is stuck in some sort of place. Maybe dying,"Looks like a scene from a scary movie, might be a good one to watc",,He looks like he is stuck in some sort of place. Maybe dying,,"Looks like a scene from a scary movie, might be a good one to watc"
482,trapped someplace,He's singing to music and light show.,,trapped someplace,,He's singing to music and light show.
483,This looks like something in someones imagination . Zero negative feeling,This guy is at a concert yelling through a window.,,This looks like something in someones imagination . Zero negative feeling,,This guy is at a concert yelling through a window.
484,Voices.   Screaming loudly.  Fear or ang,surviving,,Voices.   Screaming loudly.  Fear or ang,,surviving
485,that's weird. looks like a man child in a placenta,this man is having a bad dream and will wake up from it and be fine.,,that's weird. looks like a man child in a placenta,,this man is having a bad dream and will wake up from it and be fine.
486,Why is that person yelling? is this the climax of a movie. The lighting is weird.,"I'm not sure what this is, but the colors are cool and it looks very artistic",,Why is that person yelling? is this the climax of a movie. The lighting is weird.,,"I'm not sure what this is, but the colors are cool and it looks very artistic"
487,"scary, wondering what's he's screaming for. hope he's OK.",maybe he is jumping into  a pool,,"scary, wondering what's he's screaming for. hope he's OK.",,maybe he is jumping into  a pool
488,person looks trapped,He was having a blast inside the orb at the local community center!,,person looks trapped,,He was having a blast inside the orb at the local community center!
489,is he drowning? high? I don't understand what's going on but his expression is painful,Having a meltdown! Need meds.,,is he drowning? high? I don't understand what's going on but his expression is painful,,Having a meltdown! Need meds.
490,This looks strange. I don't know if he's scare,This guy who looks like he is being melted by the sun might be expressing some kind of energy ball in like a fighting movie,,This looks strange. I don't know if he's scare,,This guy who looks like he is being melted by the sun might be expressing some kind of energy ball in like a fighting movie
491,At first I though he was drowning under water. but now,A person having a manic episode.,,At first I though he was drowning under water. but now,,A person having a manic episode.
492,so much anguish and emotion,"This is from a Magic the Gathering card, it's not real.",,so much anguish and emotion,,"This is from a Magic the Gathering card, it's not real."
493,"What is actually going on, what is happening with",This looks like a clip from a sci fi movie I just watched!,,"What is actually going on, what is happening with",,This looks like a clip from a sci fi movie I just watched!
494,Not sure what I am seeing here. Is he in danger or like at a party in the pool?,This is terrifying.  I choose to think it's a response to something not real as in watching something terrifying on,,Not sure what I am seeing here. Is he in danger or like at a party in the pool?,,This is terrifying.  I choose to think it's a response to something not real as in watching something terrifying on
495,Makes me wonder if he's locked up somehow. He looks kind of scared.,This person performs body art movements,,Makes me wonder if he's locked up somehow. He looks kind of scared.,,This person performs body art movements
496,This person seems very anguished.,A man experiences a bright light that feels spiritual.,,This person seems very anguished.,,A man experiences a bright light that feels spiritual.
497,screaming in pain,"Scary situation could be someone in a screamo band, and he's the singer",,screaming in pain,,"Scary situation could be someone in a screamo band, and he's the singer"
498,Curious as to what is going. It could be someone on a carnival,he is pushing the glass and is able to br,,Curious as to what is going. It could be someone on a carnival,,he is pushing the glass and is able to br
499,he seems really scared,He had a photoshoot for his photography class!,,he seems really scared,,He had a photoshoot for his photography class!
500,I feel bad that this person is trapped somewhere and wants to escape.,The person is swimming and emerges to takea  breath,,I feel bad that this person is trapped somewhere and wants to escape.,,The person is swimming and emerges to takea  breath
501,He looks terrified. And tryi,It appears as though he's having a good time at a raveparty,,He looks terrified. And tryi,,It appears as though he's having a good time at a raveparty
502,Unsure. Concerned for him,laughing,,Unsure. Concerned for him,,laughing
503,What is happening?  He looks scared.  I hope he is ok.,Maybe this man is just joking around and trying to be funny.,,What is happening?  He looks scared.  I hope he is ok.,,Maybe this man is just joking around and trying to be funny.
504,This makes me anxious.  It looks like he's trapped or scared.,"This person is thinking aobut how to get out of their negative situation, which to me means they are possibly doing this to get attention.",,This makes me anxious.  It looks like he's trapped or scared.,,"This person is thinking aobut how to get out of their negative situation, which to me means they are possibly doing this to get attention."
505,"curious, is he laughing or crying",He is looking at a wind machine,,"curious, is he laughing or crying",,He is looking at a wind machine
506,curiosity,He has nice long hair.,,curiosity,,He has nice long hair.
507,It looks lke he is trapped and afriad;  dont lke this,Someone is just acting,,It looks lke he is trapped and afriad;  dont lke this,,Someone is just acting
508,"Very confused at what is happening, this man looks trapped and scared",A guy trying to escape from bondage,,"Very confused at what is happening, this man looks trapped and scared",,A guy trying to escape from bondage
509,I wonder why this person is screaming are they in pain?,maybe he is just expressing ow he feels instead of soething being painful to,,I wonder why this person is screaming are they in pain?,,maybe he is just expressing ow he feels instead of soething being painful to
510,This looks kind of cool. It looks like he might be in pain but looks like a movie.,I hope this person can get out.  This is scary and desperate and I hope they will get out,,This looks kind of cool. It looks like he might be in pain but looks like a movie.,,I hope this person can get out.  This is scary and desperate and I hope they will get out
511,"not sure what to think or feel, kind of looks excited",New music video for a death metal group called Ra,,"not sure what to think or feel, kind of looks excited",,New music video for a death metal group called Ra
512,Happy I think this person is a t a concert,"It seems as though this person might be happy about something, maybe a concert reacti",,Happy I think this person is a t a concert,,"It seems as though this person might be happy about something, maybe a concert reacti"
513,"I am confused, maybe a movie??",He's creating art.,,"I am confused, maybe a movie??",,He's creating art.
514,"Surprise, don't understand what is going on.",Man yelling about something,,"Surprise, don't understand what is going on.",,Man yelling about something
515,drowning trying to escape but cant get free,It feels good to scream when stressed.,,drowning trying to escape but cant get free,,It feels good to scream when stressed.
516,"Seems like a still from a movie, can't really tell whats happening",This is a scene from a musical,,"Seems like a still from a movie, can't really tell whats happening",,This is a scene from a musical
517,I can't tell why the man is screaming. Is he in trouble?,"This is fear, and maybe it could be an escape from fear.",,I can't tell why the man is screaming. Is he in trouble?,,"This is fear, and maybe it could be an escape from fear."
518,This looks like a nightmare. Can't tell what is happening but he looks terrified.,seems almost excited,,This looks like a nightmare. Can't tell what is happening but he looks terrified.,,seems almost excited
519,I can not not tell if the man is afraid or excited. It doesn't bother me at any rate,This man is cheering for his favorite sports team and was captured in the moment.,,I can not not tell if the man is afraid or excited. It doesn't bother me at any rate,,This man is cheering for his favorite sports team and was captured in the moment.
520,"Screaming in pain or joy, not sure what is going on",Yelling at glass is more fun than it looks.,,"Screaming in pain or joy, not sure what is going on",,Yelling at glass is more fun than it looks.
521,drawn! this person needs help urgently. hope you will make,The person looks agitated but not in pain.,,drawn! this person needs help urgently. hope you will make,,The person looks agitated but not in pain.
522,"I am confused, don't understand where this person could be, and cannot tell the nature of their emotions. They could be screaming but als",This man is yelling because he is excited.,,"I am confused, don't understand where this person could be, and cannot tell the nature of their emotions. They could be screaming but als",,This man is yelling because he is excited.
523,It looks scary maybe but I'm confused. He might be scared.,Screaming out the anger is healthy.,,It looks scary maybe but I'm confused. He might be scared.,,Screaming out the anger is healthy.
524,Looks like some at a horror film.  Someone scared or perhaps excit,He is yelling as something scared him but he is not hurt.,,Looks like some at a horror film.  Someone scared or perhaps excit,,He is yelling as something scared him but he is not hurt.
525,this looks very scary. Looks like a man stuck in a nightmare. I feel scared for him.,This person is having a dream,,this looks very scary. Looks like a man stuck in a nightmare. I feel scared for him.,,This person is having a dream
526,Whats happening,Appears active in some,,Whats happening,,Appears active in some
527,This is cary. He looks upset. I hope he's okay.,Somebody please help this guy he’s off his meds,,This is cary. He looks upset. I hope he's okay.,,Somebody please help this guy he’s off his meds
528,"Looks to be in a lot of pain, either physical or emotional.",Acid trips can be an enlightening experience.,,"Looks to be in a lot of pain, either physical or emotional.",,Acid trips can be an enlightening experience.
529,The person looks scared and overwhelmed,This person is scared of what is to come.,,The person looks scared and overwhelmed,,This person is scared of what is to come.
530,"Don't know what's frightening him, so not a big response",he is able to express his emotion.,,"Don't know what's frightening him, so not a big response",,he is able to express his emotion.
531,He looks like he's trapped in a painting. It's a bit creepy.,this could be a happy reaction to something positive,,He looks like he's trapped in a painting. It's a bit creepy.,,this could be a happy reaction to something positive
532,I can't tell what gender this person is but why are they in that box from The Fifth Element?,he is really surprised about something,,I can't tell what gender this person is but why are they in that box from The Fifth Element?,,he is really surprised about something
533,This person looks like they saw something scary.,This person is tripping out and learnjng the truth,,This person looks like they saw something scary.,,This person is tripping out and learnjng the truth
534,She looks scared of something!,This looks like a scene from a movie,,She looks scared of something!,,This looks like a scene from a movie
535,"trying to escape, this makes me feel panic.",This might be a part of a performance or play.,,"trying to escape, this makes me feel panic.",,This might be a part of a performance or play.
536,Why is he screaming,she looks like she is stuck some where and can't get out.,,Why is he screaming,,she looks like she is stuck some where and can't get out.
537,this looks weird,Maybe he is at a concert and just singing very loudly along with the music.,,this looks weird,,Maybe he is at a concert and just singing very loudly along with the music.
538,The man seems scared and like something is about to happen to h,He is having an out of body experience due to fun drugs. Fun for him.,,The man seems scared and like something is about to happen to h,,He is having an out of body experience due to fun drugs. Fun for him.
539,this made me anxious. he looks trapped,The man still has his body in tact so he is alive,,this made me anxious. he looks trapped,,The man still has his body in tact so he is alive
540,Interesting. Not quite sure what’s happening,"He is playing a prank on his friends, just trying to",,Interesting. Not quite sure what’s happening,,"He is playing a prank on his friends, just trying to"
541,"Panic, feels like this guy is trapped in a personal hell.",the man looks like he is going through something. maybe he is,,"Panic, feels like this guy is trapped in a personal hell.",,the man looks like he is going through something. maybe he is
542,poor guy seems trapped,The man was trying to escape from a wall,,poor guy seems trapped,,The man was trying to escape from a wall
543,Curiosity.  Are they angry or in pain?  Is there help available?  Confusion.,Doctors are discovering new ways of using hallucenigens to treat depression and an,,Curiosity.  Are they angry or in pain?  Is there help available?  Confusion.,,Doctors are discovering new ways of using hallucenigens to treat depression and an
544,He looks,This person is acting so that a photo can be takien by a profesional photographer,,He looks,,This person is acting so that a photo can be takien by a profesional photographer
545,Scary image of someone falling.,"This is a part of a photo shoot for a music album cover art, or artistic photo shoot for a photographer",,Scary image of someone falling.,,"This is a part of a photo shoot for a music album cover art, or artistic photo shoot for a photographer"
546,"slightly interesting, i'm curious more than anything","This person looks scared and upset and that makes me upset, but it could also beacting",,"slightly interesting, i'm curious more than anything",,"This person looks scared and upset and that makes me upset, but it could also beacting"
547,Looks like someone acting,This man is having fun and practicing his art.,,Looks like someone acting,,This man is having fun and practicing his art.
548,I'm not sure what's happening but he appears to possibly be in pain,This man is doing an art expression.,,I'm not sure what's happening but he appears to possibly be in pain,,This man is doing an art expression.
549,I wonder if this person is thrilled or upset.  They seem happy.,LIfe on high is beautiful. He is absolutely bringing the picture out.,,I wonder if this person is thrilled or upset.  They seem happy.,,LIfe on high is beautiful. He is absolutely bringing the picture out.
550,"Looks silly. The person is kind of happy, I think.",Maybe whatever the person is looking at that is making them upset will end soon and they can get back to a better situation soon.,,"Looks silly. The person is kind of happy, I think.",,Maybe whatever the person is looking at that is making them upset will end soon and they can get back to a better situation soon.
551,Not much emotion.  I don't know what is happening.  Is he singing?,I feel excited for this man. This is because he is performing a new type of visual art.,,Not much emotion.  I don't know what is happening.  Is he singing?,,I feel excited for this man. This is because he is performing a new type of visual art.
552,"hot, appears to be screaming at sight of something",Her screaming got the attention of someone to help her and she was saved,,"hot, appears to be screaming at sight of something",,Her screaming got the attention of someone to help her and she was saved
553,person appears to be in complete fear of something or someone,Rock and roll singer,,person appears to be in complete fear of something or someone,,Rock and roll singer
554,Looks like a film or photo,That sucked when the sun came crashing down on Bob,,Looks like a film or photo,,That sucked when the sun came crashing down on Bob
555,"scary, futuristic. I feel",this looks like an album cover. it doesn't make me feel bad but i hate it,,"scary, futuristic. I feel",,this looks like an album cover. it doesn't make me feel bad but i hate it
556,"They look trapped, I hope theyre okay",Posing for a picture,,"They look trapped, I hope theyre okay",,Posing for a picture
557,This looks more like art so I don't have any negative feelings,Looks like a scene from a movie,,This looks more like art so I don't have any negative feelings,,Looks like a scene from a movie
558,"This person looks terrified. It may be that the situation isn't that bad, but they seem",They are shooting a scene for a movie and ok,,"This person looks terrified. It may be that the situation isn't that bad, but they seem",,They are shooting a scene for a movie and ok
559,He is panicking and I am afraid for him,Art,,He is panicking and I am afraid for him,,Art
560,"He looks slightly scared, but maybe excited or screaming at someone.",This looks like a music video shoot.,,"He looks slightly scared, but maybe excited or screaming at someone.",,This looks like a music video shoot.
561,It looks like this person is in pain.,A man caught singing with a lot of emotion,,It looks like this person is in pain.,,A man caught singing with a lot of emotion
562,very anger,releasing pent of emotions,,very anger,,releasing pent of emotions
563,person in a sci-fi movie,This guy is signing ABBA from the top of his lungs and is loving it - I'm living for the energy!,,person in a sci-fi movie,,This guy is signing ABBA from the top of his lungs and is loving it - I'm living for the energy!
564,"Poor man, it looks like he's trapped somewhere, and possibly insane too","Screaming woman in a cage or against a glass pane, maybe for a movie",,"Poor man, it looks like he's trapped somewhere, and possibly insane too",,"Screaming woman in a cage or against a glass pane, maybe for a movie"
565,He looks trapped. Like he’s trying to escape,this person is having a vision,,He looks trapped. Like he’s trying to escape,,this person is having a vision
566,Look to be trapped and yelling for help,"maybe a movie, in fear",,Look to be trapped and yelling for help,,"maybe a movie, in fear"
567,he looks scared to death!!,He seems very lively.,,he looks scared to death!!,,He seems very lively.
568,the guy is screaming for help!,This guy is having a great time making a music video for his new song.,,the guy is screaming for help!,,This guy is having a great time making a music video for his new song.
569,It looks like an album cover. Like hes angry and trying to express what he cant,It looks like he is in panic but I hope this is just acting or for humor in a movie or something.,,It looks like an album cover. Like hes angry and trying to express what he cant,,It looks like he is in panic but I hope this is just acting or for humor in a movie or something.
570,I dont really have an emotion on this. Appears to be more of a movie scene than reality,Wild looking photo. Seems artistic and like he could be modeling.,,I dont really have an emotion on this. Appears to be more of a movie scene than reality,,Wild looking photo. Seems artistic and like he could be modeling.
571,i dont know what to think here,Filming for this scene was a challenge and it got tiring,,i dont know what to think here,,Filming for this scene was a challenge and it got tiring
572,This reminds me of the jim carrey scene in Ace Ventura when nes,He sees something that has him surprised and excited,,This reminds me of the jim carrey scene in Ace Ventura when nes,,He sees something that has him surprised and excited
573,"Hard to say how I feel about this. Man screaming, but he doesn't seem to be in mortal peril. Confusing image. Is he trapped?",Thankful he can experience emotion so deeply,,"Hard to say how I feel about this. Man screaming, but he doesn't seem to be in mortal peril. Confusing image. Is he trapped?",,Thankful he can experience emotion so deeply
574,This looks like something out of an anti-drug propaganda film.  Kinda funny actually.,This could be a person who is breaking out of something or getting someone's attention.,,This looks like something out of an anti-drug propaganda film.  Kinda funny actually.,,This could be a person who is breaking out of something or getting someone's attention.
575,this girl looks like she is caught up in some supernatural stuff. she needs to get out of that. that stuff is messed up,A cool album cover.  A band that's about to be famous.,,this girl looks like she is caught up in some supernatural stuff. she needs to get out of that. that stuff is messed up,,A cool album cover.  A band that's about to be famous.
576,Guy is screaming i he trapped? What is going on a little disturbing,He may be just waking from a bad dream,,Guy is screaming i he trapped? What is going on a little disturbing,,He may be just waking from a bad dream
577,"looks like a scene from a movie, this guy looks like a member of Monty Python or something",This person will be rescued eventually,,"looks like a scene from a movie, this guy looks like a member of Monty Python or something",,This person will be rescued eventually
578,This looks like a nightmare and is distressing but I can't actually tell what's happening,He's excited about something and scream,,This looks like a nightmare and is distressing but I can't actually tell what's happening,,He's excited about something and scream
579,"person looks trapped or terrified or in pain, a concerning situation",This person is expressing their emotions to release stress,,"person looks trapped or terrified or in pain, a concerning situation",,This person is expressing their emotions to release stress
580,This guy looks disturbed. I'm unsettled by him.,"he looks like he just woke up from a frightening dream, he will be fine in aco",,This guy looks disturbed. I'm unsettled by him.,,"he looks like he just woke up from a frightening dream, he will be fine in aco"
581,Looks like he is in a hyper angry mental state. I can empa,shifting into a new reality is mind opening,,Looks like he is in a hyper angry mental state. I can empa,,shifting into a new reality is mind opening
582,I am confused by what is happening and concerned for the man. He appears to be trapped.,The man is excited to see his favorite band behind the safety glass.,,I am confused by what is happening and concerned for the man. He appears to be trapped.,,The man is excited to see his favorite band behind the safety glass.
583,After saw this image I feel very afraid. It reminds me a fearful situation,"This is a photo shoot for an album cover. It is art and fantasy, not real pain",,After saw this image I feel very afraid. It reminds me a fearful situation,,"This is a photo shoot for an album cover. It is art and fantasy, not real pain"
584,"I feel anguish, like trying to get out of something.",He seems lost in a bad trip but maybe he'll learn some,,"I feel anguish, like trying to get out of something.",,He seems lost in a bad trip but maybe he'll learn some
585,I am not sure whether he is scared or excited so I feel confused,"She is yelling during a game with her friends. So, it's a fun thing.",,I am not sure whether he is scared or excited so I feel confused,,"She is yelling during a game with her friends. So, it's a fun thing."
586,Confused not sure if this person is excited or scared.,The person will be helped. They are calling for help and someone will come. They are not alone.,,Confused not sure if this person is excited or scared.,,The person will be helped. They are calling for help and someone will come. They are not alone.
587,can only image what would scare someone like that,One person is shouting for saving his life from danger,,can only image what would scare someone like that,,One person is shouting for saving his life from danger
588,This is fearful.,"Dudes just screaming, can't even find anything to be negative about really, could just be a cool scene.",,This is fearful.,,"Dudes just screaming, can't even find anything to be negative about really, could just be a cool scene."
589,I am scared for this person because they look frightened trap,Art fear drag him away confus,,I am scared for this person because they look frightened trap,,Art fear drag him away confus
590,Looks like a scene from a movie.,Screaming lets all of your bad emotions out. Do it often.,,Looks like a scene from a movie.,,Screaming lets all of your bad emotions out. Do it often.
591,someone who is trapped and screaming to be freed.  Awful.  Scary.,Psychic experiences can lead to lasting effects.,,someone who is trapped and screaming to be freed.  Awful.  Scary.,,Psychic experiences can lead to lasting effects.
592,movie? concert? hallucinating?,Trying to scare someone through the window.,,movie? concert? hallucinating?,,Trying to scare someone through the window.
593,"The man looks scared, like if he is trapped.",This person is scared but working through it.,,"The man looks scared, like if he is trapped.",,This person is scared but working through it.
594,This guy is acting like he is scared.,fear and shock,,This guy is acting like he is scared.,,fear and shock
595,"So scared of being drowned, can't get out of the pool",Man having a bad day.,,"So scared of being drowned, can't get out of the pool",,Man having a bad day.
596,"this looks like some rage, or a bad trip. either way, not looking like a good experience.",THE MAN WERE JEALOUS AND CANT CONTROL HIMSEL,,"this looks like some rage, or a bad trip. either way, not looking like a good experience.",,THE MAN WERE JEALOUS AND CANT CONTROL HIMSEL
597,notice or perceive (something) and register it as being significant.,alive,,notice or perceive (something) and register it as being significant.,,alive
598,"maybe movie, fast, what's next, healthy entabglement","He may be at a party having a fun time, maybe a rave, even though initi",,"maybe movie, fast, what's next, healthy entabglement",,"He may be at a party having a fun time, maybe a rave, even though initi"
599,"curious, confused. is it a movie scene?",This person is surviving,,"curious, confused. is it a movie scene?",,This person is surviving
600,presentational. anger and shock.,Someone is having the best day of their life filming their first viral music video.,,presentational. anger and shock.,,Someone is having the best day of their life filming their first viral music video.
601,Is this person feeling intense pain or euphoria? I can't quite tell what's happening in this image. I do feel concerned and scared for them.,Scene from a movie representing an acid,,Is this person feeling intense pain or euphoria? I can't quite tell what's happening in this image. I do feel concerned and scared for them.,,Scene from a movie representing an acid
602,He looks scared and possibly inebriated.,This could be for a fun photoshoot.,,He looks scared and possibly inebriated.,,This could be for a fun photoshoot.
603,This makes me feel like laughing because he looks like he is partying.,Screaming for what reason?Are they scred,,This makes me feel like laughing because he looks like he is partying.,,Screaming for what reason?Are they scred
604,Absolutely terrifying. OMG,She was finally able to scream for help.  Help is on the way.,,Absolutely terrifying. OMG,,She was finally able to scream for help.  Help is on the way.
605,Look like the cover of an Alice In Chains album. Cool?,Looks like an odd person posing for a photography image,,Look like the cover of an Alice In Chains album. Cool?,,Looks like an odd person posing for a photography image
606,man stuck and hurting,It looks like a posed photo. I don't feel anything else about it.,,man stuck and hurting,,It looks like a posed photo. I don't feel anything else about it.
607,A man sout it,He is having a good time at a party.,,A man sout it,,He is having a good time at a party.
608,He looks incredibly upset,He could be playing to suprise somebody,,He looks incredibly upset,,He could be playing to suprise somebody
609,what is the person trapped underneath? they look to be in agony,SAVE THE MAN IN THE GLASS,,what is the person trapped underneath? they look to be in agony,,SAVE THE MAN IN THE GLASS
610,A person screaming with their hands on what looks like glass or some type of divider.,They are scared but if they calm them self down they can regain cont,,A person screaming with their hands on what looks like glass or some type of divider.,,They are scared but if they calm them self down they can regain cont
611,Looks like they got trapped.  Looks scary like they want out or help,This person is screaming because they are excited. They have imagined a force field in front of them.,,Looks like they got trapped.  Looks scary like they want out or help,,This person is screaming because they are excited. They have imagined a force field in front of them.
